,ticker,market_cap
972,JIN,675268906.2429428
973,JNO,5031204.009778798
974,JPR,39702319.351136684
975,JMS,451039208.1820965
976,KSC,468016777.80059814
977,KAM,17361559.000427485
978,KLR,884400.0076875091
979,KAI,68403660.16333008
980,KAU,100902818.34134293
981,KZR,26327279.411539435
982,KAL,14497820.89084053
983,KM1,25610840.26938677
984,KPO,33729408.58523369
985,KAR,1414927366.986168
986,KAT,39141882.55736828
987,KPG,468143506.90841675
988,KLS,1042725127.4132767
989,KEY,1421401.7808366567
990,KBC,10003385.657474399
991,KFW,
992,KGL,72693389.41040468
993,KLI,4907832.266718149
994,KSL,389875946.08545685
995,KYP,117205760.49900055
996,KCC,19635958.601102114
997,KKO,118392798.63371468
998,KRR,11708690.025408506
999,KFM,4936910.063624382
1000,KIG,
1001,KI1,
1002,KCN,708818000.0
1003,KNG,9070112.0
1004,KRM,31648132.565319777
1005,KSN,111305346.95734406
1006,KME,31583475.684553385
1007,KKC,
1008,KMD,165486826.01609612
1009,KNM,7022540.109552741
1010,KNO,7132576.082779169
1011,KOB,6556175.964474678
1012,KGN,392293464.7356987
1013,KNB,45103080.45960426
1014,KOR,3355888.287396133
1015,KP2,247668738.02471924
1016,KOV,164503831.19544983
1017,KTA,8914041.201325595
